,Loan_Amount,Loan_Tenure_Year,Years_to_Financial_Freedom,Number_of_Credit_Card_Facility,Number_of_Properties,Number_of_Bank_Products,Years_for_Property_to_Completion,Number_of_Side_Income,Monthly_Salary,Total_Sum_of_Loan,Total_Income_for_Join_Application,Unnamed: 0,Credit_Card_Exceed_Months,Employment_Type,More_Than_One_Products,Credit_Card_types,Number_of_Dependents,Number_of_Loan_to_Approve,Property_Type,State,Score,Total_Duration,Decision
537,High Loan Amount,16.0,10.0,2.0,3.0,1.0,12.0,1.0,Average Salary,Low Sum of Loan,Average Income for Join Application,537,6,Self_Employed,no,normal,2,3,condominium,Selangor,7,26.0,Accept
538,Average Loan Amount,18.0,10.0,2.0,2.0,1.0,12.0,1.0,Low Salary,Average Sum of Loan,Average Income for Join Application,538,6,Self_Employed,yes,normal,2,1,condominium,Selangor,6,28.0,Reject
539,Average Loan Amount,13.0,10.0,2.0,3.0,1.0,12.0,1.0,Average Salary,Low Sum of Loan,Average Income for Join Application,539,6,Self_Employed,no,normal,2,1,condominium,Selangor,6,23.0,Accept
540,Low Loan Amount,18.0,10.0,2.0,2.0,1.0,12.0,3.0,Average Salary,Average Sum of Loan,Low Income for Join Application,540,6,Self_Employed,yes,normal,2,2,condominium,Selangor,6,28.0,Accept
541,Low Loan Amount,21.0,10.0,2.0,2.0,1.0,12.0,2.0,Low Salary,Average Sum of Loan,Low Income for Join Application,541,6,Self_Employed,no,normal,2,2,condominium,Selangor,7,31.0,Reject
542,Low Loan Amount,11.0,10.0,3.0,3.0,1.0,11.0,1.0,Average Salary,Low Sum of Loan,Average Income for Join Application,542,6,Self_Employed,yes,normal,2,2,condominium,Selangor,8,21.0,Accept
543,Low Loan Amount,15.0,9.0,2.0,3.0,1.0,12.0,1.0,Average Salary,Low Sum of Loan,High Income for Join Application,543,6,Self_Employed,no,platinum,2,2,condominium,Selangor,6,24.0,Reject
544,Low Loan Amount,13.0,10.0,3.0,2.0,2.0,12.0,3.0,Average Salary,High Sum of Loan,Low Income for Join Application,544,6,Self_Employed,yes,normal,2,2,condominium,Selangor,7,23.0,Reject
545,Average Loan Amount,12.0,13.0,3.0,3.0,2.0,12.0,1.0,High Salary,Average Sum of Loan,Average Income for Join Application,545,6,Self_Employed,no,normal,2,2,condominium,Selangor,7,25.0,Accept
546,Low Loan Amount,23.0,10.0,2.0,3.0,1.0,12.0,1.0,Average Salary,Low Sum of Loan,Low Income for Join Application,546,6,Self_Employed,yes,normal,2,2,condominium,Selangor,9,33.0,Accept
547,High Loan Amount,21.0,15.0,4.0,3.0,2.0,12.0,1.0,High Salary,Low Sum of Loan,Low Income for Join Application,547,6,Self_Employed,no,gold,2,3,condominium,Selangor,8,36.0,Accept
548,Average Loan Amount,12.0,10.0,2.0,3.0,1.0,12.0,1.0,Low Salary,High Sum of Loan,Average Income for Join Application,548,6,Self_Employed,yes,normal,2,1,condominium,Selangor,7,22.0,Reject
549,Low Loan Amount,13.0,10.0,2.0,3.0,1.0,11.0,2.0,Average Salary,Average Sum of Loan,Average Income for Join Application,549,6,Self_Employed,no,platinum,2,1,condominium,Selangor,6,23.0,Accept
550,Low Loan Amount,14.0,15.0,2.0,3.0,1.0,12.0,3.0,Low Salary,High Sum of Loan,Low Income for Join Application,550,6,Self_Employed,yes,gold,2,1,condominium,Selangor,9,29.0,Accept
551,High Loan Amount,11.0,10.0,4.0,2.0,2.0,12.0,1.0,Low Salary,Low Sum of Loan,Average Income for Join Application,551,6,Self_Employed,no,normal,2,1,condominium,Selangor,6,21.0,Accept
552,Low Loan Amount,14.0,10.0,2.0,3.0,1.0,12.0,1.0,High Salary,Low Sum of Loan,Low Income for Join Application,552,6,Self_Employed,yes,normal,2,2,condominium,Selangor,6,24.0,Accept
553,High Loan Amount,18.0,10.0,4.0,2.0,1.0,12.0,1.0,Low Salary,High Sum of Loan,Average Income for Join Application,553,6,Self_Employed,no,gold,2,3,condominium,Selangor,9,28.0,Reject
554,Average Loan Amount,13.0,10.0,2.0,2.0,1.0,10.0,1.0,Low Salary,Low Sum of Loan,Low Income for Join Application,554,6,Self_Employed,yes,gold,2,3,condominium,Selangor,9,23.0,Reject
555,High Loan Amount,20.0,10.0,4.0,3.0,2.0,12.0,1.0,Low Salary,Average Sum of Loan,Average Income for Join Application,555,6,Self_Employed,no,normal,2,1,condominium,Selangor,6,30.0,Accept
556,High Loan Amount,21.0,14.0,2.0,2.0,1.0,12.0,2.0,Low Salary,Average Sum of Loan,Average Income for Join Application,556,6,Self_Employed,yes,normal,2,1,condominium,Selangor,7,35.0,Accept
557,Average Loan Amount,11.0,10.0,2.0,3.0,1.0,12.0,3.0,Average Salary,Low Sum of Loan,Average Income for Join Application,557,6,Self_Employed,no,gold,2,2,condominium,Selangor,8,21.0,Accept
558,Average Loan Amount,19.0,17.0,4.0,3.0,1.0,12.0,1.0,Average Salary,Low Sum of Loan,Low Income for Join Application,558,6,Self_Employed,yes,gold,2,1,condominium,Selangor,9,36.0,Reject
559,Low Loan Amount,20.0,10.0,2.0,3.0,2.0,12.0,1.0,Average Salary,High Sum of Loan,Average Income for Join Application,559,6,Self_Employed,no,normal,2,1,condominium,Selangor,8,30.0,Accept
560,Average Loan Amount,14.0,10.0,2.0,3.0,1.0,12.0,1.0,High Salary,Average Sum of Loan,Low Income for Join Application,560,6,Self_Employed,yes,gold,2,3,condominium,Selangor,7,24.0,Accept
561,Average Loan Amount,21.0,10.0,2.0,3.0,1.0,12.0,2.0,Low Salary,High Sum of Loan,Average Income for Join Application,561,6,Self_Employed,no,normal,2,2,condominium,Selangor,8,31.0,Reject
562,Low Loan Amount,13.0,10.0,3.0,2.0,2.0,12.0,1.0,Average Salary,High Sum of Loan,Average Income for Join Application,562,6,Self_Employed,yes,gold,2,1,condominium,Selangor,7,23.0,Accept
563,High Loan Amount,21.0,10.0,2.0,3.0,1.0,12.0,3.0,High Salary,Low Sum of Loan,Low Income for Join Application,563,6,Self_Employed,no,normal,2,2,condominium,Selangor,9,31.0,Reject
564,Average Loan Amount,20.0,15.0,2.0,3.0,1.0,12.0,1.0,Low Salary,High Sum of Loan,Average Income for Join Application,564,6,Self_Employed,yes,normal,2,2,condominium,Selangor,6,35.0,Accept
565,Low Loan Amount,20.0,10.0,4.0,2.0,1.0,12.0,2.0,Average Salary,High Sum of Loan,Low Income for Join Application,565,6,Self_Employed,no,gold,2,1,condominium,Selangor,7,30.0,Accept
566,High Loan Amount,14.0,10.0,2.0,2.0,2.0,12.0,1.0,High Salary,Average Sum of Loan,Low Income for Join Application,566,6,Self_Employed,yes,normal,2,2,condominium,Selangor,8,24.0,Reject
567,Low Loan Amount,18.0,10.0,2.0,3.0,1.0,12.0,2.0,High Salary,Low Sum of Loan,Average Income for Join Application,567,6,Self_Employed,no,gold,2,2,condominium,Selangor,9,28.0,Reject
568,Average Loan Amount,23.0,10.0,2.0,3.0,1.0,12.0,2.0,Low Salary,High Sum of Loan,Average Income for Join Application,568,6,Self_Employed,yes,gold,2,3,condominium,Selangor,6,33.0,Accept
569,Low Loan Amount,12.0,10.0,2.0,2.0,1.0,12.0,1.0,Low Salary,High Sum of Loan,Average Income for Join Application,569,6,Self_Employed,no,normal,2,1,condominium,Selangor,8,22.0,Accept
570,High Loan Amount,22.0,10.0,2.0,3.0,1.0,12.0,2.0,Low Salary,High Sum of Loan,Average Income for Join Application,570,6,Self_Employed,yes,gold,2,3,condominium,Selangor,6,32.0,Reject
571,Average Loan Amount,10.0,15.0,3.0,3.0,1.0,12.0,1.0,High Salary,Average Sum of Loan,High Income for Join Application,571,6,Self_Employed,no,normal,2,3,condominium,Selangor,9,25.0,Reject
572,Average Loan Amount,10.0,10.0,2.0,2.0,1.0,12.0,3.0,Average Salary,Average Sum of Loan,Low Income for Join Application,572,6,Self_Employed,yes,gold,2,1,condominium,Selangor,9,20.0,Accept
573,Low Loan Amount,19.0,15.0,2.0,2.0,1.0,12.0,2.0,Average Salary,High Sum of Loan,Low Income for Join Application,573,6,Self_Employed,no,gold,2,3,condominium,Selangor,8,34.0,Reject
574,High Loan Amount,24.0,10.0,3.0,3.0,1.0,12.0,2.0,Low Salary,Low Sum of Loan,Average Income for Join Application,574,6,Self_Employed,yes,gold,2,1,condominium,Selangor,8,34.0,Reject
575,High Loan Amount,18.0,11.0,2.0,2.0,1.0,12.0,1.0,Low Salary,Low Sum of Loan,Low Income for Join Application,575,6,Self_Employed,no,gold,2,1,condominium,Selangor,8,29.0,Accept
576,Average Loan Amount,22.0,15.0,2.0,2.0,2.0,12.0,3.0,Low Salary,High Sum of Loan,Low Income for Join Application,576,6,Self_Employed,yes,normal,2,2,condominium,Selangor,8,37.0,Accept
577,Average Loan Amount,12.0,10.0,2.0,3.0,1.0,11.0,1.0,Average Salary,Average Sum of Loan,Low Income for Join Application,577,6,Self_Employed,no,normal,2,1,condominium,Selangor,7,22.0,Accept
578,High Loan Amount,22.0,10.0,2.0,2.0,1.0,12.0,1.0,High Salary,High Sum of Loan,High Income for Join Application,578,6,Self_Employed,yes,platinum,2,1,condominium,Selangor,7,32.0,Accept
579,Low Loan Amount,18.0,10.0,4.0,3.0,1.0,12.0,2.0,Average Salary,Average Sum of Loan,High Income for Join Application,579,6,Self_Employed,no,gold,2,2,condominium,Selangor,7,28.0,Reject
580,High Loan Amount,21.0,10.0,2.0,3.0,1.0,12.0,1.0,High Salary,Average Sum of Loan,Average Income for Join Application,580,6,Self_Employed,yes,gold,2,1,condominium,Selangor,6,31.0,Reject
581,Average Loan Amount,10.0,10.0,2.0,2.0,1.0,12.0,1.0,High Salary,Low Sum of Loan,High Income for Join Application,581,6,Self_Employed,no,platinum,2,2,condominium,Selangor,9,20.0,Accept
582,High Loan Amount,15.0,9.0,4.0,3.0,2.0,12.0,2.0,Average Salary,Low Sum of Loan,Average Income for Join Application,582,6,Self_Employed,yes,normal,2,2,condominium,Selangor,7,24.0,Reject
583,High Loan Amount,21.0,10.0,2.0,2.0,1.0,12.0,1.0,Average Salary,Low Sum of Loan,Average Income for Join Application,583,6,Self_Employed,no,gold,2,2,condominium,Selangor,8,31.0,Accept
584,Average Loan Amount,20.0,10.0,2.0,2.0,1.0,12.0,3.0,Average Salary,Average Sum of Loan,High Income for Join Application,584,6,Self_Employed,yes,gold,2,1,condominium,Selangor,6,30.0,Accept
585,High Loan Amount,21.0,10.0,2.0,3.0,1.0,11.0,1.0,Low Salary,Low Sum of Loan,Average Income for Join Application,585,6,Self_Employed,no,gold,2,1,condominium,Selangor,6,31.0,Accept
586,Average Loan Amount,15.0,15.0,2.0,3.0,1.0,10.0,1.0,High Salary,High Sum of Loan,Low Income for Join Application,586,6,Self_Employed,yes,platinum,2,2,condominium,Selangor,6,30.0,Accept
587,Low Loan Amount,19.0,10.0,4.0,3.0,1.0,12.0,2.0,High Salary,Low Sum of Loan,Average Income for Join Application,587,6,Self_Employed,no,gold,2,1,condominium,Selangor,8,29.0,Accept
588,Average Loan Amount,17.0,10.0,2.0,3.0,1.0,12.0,2.0,Low Salary,High Sum of Loan,Low Income for Join Application,588,6,Self_Employed,yes,normal,2,3,condominium,Selangor,6,27.0,Accept
589,Low Loan Amount,10.0,14.0,2.0,2.0,2.0,12.0,2.0,Low Salary,Low Sum of Loan,Low Income for Join Application,589,6,Self_Employed,no,platinum,2,3,condominium,Selangor,6,24.0,Reject
590,Average Loan Amount,19.0,13.0,4.0,3.0,1.0,12.0,1.0,Low Salary,Average Sum of Loan,Average Income for Join Application,590,6,Self_Employed,yes,normal,2,2,condominium,Selangor,7,32.0,Accept
591,Average Loan Amount,14.0,10.0,2.0,3.0,1.0,12.0,2.0,Low Salary,High Sum of Loan,Low Income for Join Application,591,6,Self_Employed,no,gold,2,2,condominium,Selangor,9,24.0,Accept
592,Average Loan Amount,11.0,10.0,3.0,3.0,2.0,11.0,3.0,Low Salary,Low Sum of Loan,Low Income for Join Application,592,6,Self_Employed,yes,normal,2,1,condominium,Selangor,7,21.0,Accept
593,Low Loan Amount,18.0,15.0,3.0,3.0,2.0,12.0,1.0,High Salary,Average Sum of Loan,High Income for Join Application,593,6,Self_Employed,no,gold,2,1,condominium,Selangor,8,33.0,Accept
594,High Loan Amount,13.0,10.0,2.0,3.0,1.0,10.0,3.0,Low Salary,High Sum of Loan,Low Income for Join Application,594,6,Self_Employed,yes,normal,2,3,condominium,Selangor,9,23.0,Accept
595,Low Loan Amount,21.0,10.0,2.0,3.0,2.0,12.0,1.0,Average Salary,Low Sum of Loan,High Income for Join Application,595,6,Self_Employed,no,gold,2,2,condominium,Selangor,7,31.0,Reject
596,Average Loan Amount,13.0,14.0,2.0,3.0,2.0,12.0,3.0,Average Salary,High Sum of Loan,Average Income for Join Application,596,6,Self_Employed,yes,gold,2,3,condominium,Selangor,9,27.0,Accept
597,Low Loan Amount,18.0,10.0,4.0,3.0,2.0,12.0,2.0,High Salary,High Sum of Loan,High Income for Join Application,597,6,Self_Employed,no,normal,2,1,condominium,Selangor,9,28.0,Accept
598,High Loan Amount,12.0,16.0,2.0,2.0,1.0,12.0,1.0,Low Salary,Average Sum of Loan,Low Income for Join Application,598,6,Self_Employed,yes,gold,2,3,condominium,Selangor,6,28.0,Accept
599,High Loan Amount,15.0,16.0,2.0,2.0,2.0,12.0,1.0,Low Salary,High Sum of Loan,Average Income for Join Application,599,6,Self_Employed,no,platinum,2,3,condominium,Selangor,7,31.0,Accept
600,Low Loan Amount,19.0,11.0,5.0,3.0,3.0,10.0,2.0,Low Salary,Average Sum of Loan,Low Income for Join Application,600,4,employee,yes,normal,2,2,condominium,Selangor,8,30.0,Reject
601,High Loan Amount,14.0,11.0,3.0,3.0,3.0,10.0,3.0,Low Salary,Low Sum of Loan,Average Income for Join Application,601,4,employee,no,gold,2,2,condominium,Selangor,9,25.0,Accept
602,Low Loan Amount,15.0,11.0,5.0,3.0,3.0,10.0,3.0,Low Salary,High Sum of Loan,High Income for Join Application,602,4,employee,yes,gold,2,2,condominium,Selangor,7,26.0,Reject
603,Average Loan Amount,21.0,11.0,5.0,3.0,2.0,11.0,1.0,High Salary,Low Sum of Loan,Low Income for Join Application,603,4,employee,no,gold,2,3,condominium,Selangor,9,32.0,Reject
604,Average Loan Amount,14.0,11.0,4.0,3.0,3.0,10.0,3.0,Average Salary,High Sum of Loan,High Income for Join Application,604,4,employee,yes,gold,2,1,condominium,Selangor,8,25.0,Accept
605,Low Loan Amount,14.0,11.0,5.0,2.0,3.0,10.0,1.0,High Salary,Low Sum of Loan,Low Income for Join Application,605,4,employee,no,normal,2,1,condominium,Selangor,6,25.0,Reject
606,Low Loan Amount,20.0,15.0,3.0,3.0,2.0,10.0,2.0,Average Salary,High Sum of Loan,Average Income for Join Application,606,4,employee,yes,normal,2,3,condominium,Selangor,6,35.0,Accept
607,Average Loan Amount,16.0,11.0,5.0,3.0,3.0,10.0,1.0,Average Salary,Average Sum of Loan,Average Income for Join Application,607,4,employee,no,gold,2,3,condominium,Selangor,6,27.0,Accept
608,High Loan Amount,13.0,11.0,5.0,3.0,1.0,10.0,2.0,Average Salary,High Sum of Loan,Low Income for Join Application,608,4,employee,yes,normal,2,2,condominium,Selangor,9,24.0,Reject
609,High Loan Amount,20.0,15.0,5.0,2.0,2.0,12.0,3.0,Average Salary,Average Sum of Loan,Low Income for Join Application,609,4,employee,no,normal,2,1,condominium,Selangor,7,35.0,Accept
610,High Loan Amount,10.0,11.0,5.0,3.0,2.0,11.0,3.0,Average Salary,High Sum of Loan,Low Income for Join Application,610,4,employee,yes,gold,2,3,condominium,Selangor,6,21.0,Accept
611,Average Loan Amount,20.0,11.0,5.0,3.0,2.0,10.0,2.0,High Salary,High Sum of Loan,Average Income for Join Application,611,4,employee,no,platinum,2,1,condominium,Selangor,6,31.0,Accept
612,Low Loan Amount,18.0,11.0,5.0,2.0,2.0,10.0,2.0,High Salary,Low Sum of Loan,Average Income for Join Application,612,4,employee,yes,normal,2,2,condominium,Selangor,6,29.0,Reject
613,Low Loan Amount,16.0,11.0,5.0,3.0,3.0,10.0,1.0,Average Salary,Average Sum of Loan,Low Income for Join Application,613,4,employee,no,gold,2,3,condominium,Selangor,9,27.0,Accept
614,Average Loan Amount,12.0,11.0,5.0,2.0,3.0,10.0,2.0,Low Salary,Low Sum of Loan,Average Income for Join Application,614,4,employee,yes,normal,2,1,condominium,Selangor,6,23.0,Accept
615,Low Loan Amount,13.0,11.0,5.0,2.0,3.0,10.0,3.0,High Salary,Average Sum of Loan,Average Income for Join Application,615,4,employee,no,normal,2,2,condominium,Selangor,7,24.0,Accept
616,Average Loan Amount,17.0,11.0,5.0,3.0,2.0,10.0,1.0,Low Salary,High Sum of Loan,Average Income for Join Application,616,4,employee,yes,gold,2,2,condominium,Selangor,8,28.0,Accept
617,High Loan Amount,12.0,11.0,5.0,2.0,3.0,10.0,1.0,Low Salary,Low Sum of Loan,Average Income for Join Application,617,4,employee,no,normal,2,2,condominium,Selangor,7,23.0,Accept
618,Average Loan Amount,23.0,11.0,5.0,2.0,3.0,10.0,2.0,Average Salary,Average Sum of Loan,Average Income for Join Application,618,4,employee,yes,platinum,2,1,condominium,Selangor,8,34.0,Accept
619,Low Loan Amount,20.0,11.0,5.0,3.0,2.0,10.0,1.0,High Salary,Low Sum of Loan,High Income for Join Application,619,4,employee,no,normal,2,2,condominium,Selangor,7,31.0,Accept
620,High Loan Amount,12.0,9.0,5.0,2.0,3.0,10.0,3.0,Low Salary,High Sum of Loan,Average Income for Join Application,620,4,employee,yes,normal,2,3,condominium,Selangor,7,21.0,Reject
621,Average Loan Amount,20.0,14.0,3.0,3.0,3.0,10.0,2.0,Average Salary,Low Sum of Loan,Low Income for Join Application,621,4,employee,no,normal,2,2,condominium,Selangor,6,34.0,Accept
622,Average Loan Amount,10.0,11.0,3.0,3.0,3.0,10.0,3.0,Low Salary,High Sum of Loan,Average Income for Join Application,622,4,employee,yes,normal,2,1,condominium,Selangor,7,21.0,Accept
623,Low Loan Amount,13.0,11.0,5.0,3.0,3.0,10.0,1.0,Average Salary,Average Sum of Loan,High Income for Join Application,623,4,employee,no,gold,2,3,condominium,Selangor,7,24.0,Reject
624,High Loan Amount,17.0,11.0,5.0,3.0,3.0,10.0,2.0,High Salary,Average Sum of Loan,Low Income for Join Application,624,4,employee,yes,normal,2,1,condominium,Selangor,7,28.0,Reject
625,High Loan Amount,21.0,9.0,5.0,3.0,3.0,10.0,1.0,Average Salary,Average Sum of Loan,High Income for Join Application,625,4,employee,no,normal,2,1,condominium,Selangor,6,30.0,Reject
626,Average Loan Amount,10.0,11.0,5.0,3.0,3.0,10.0,3.0,High Salary,Average Sum of Loan,High Income for Join Application,626,4,employee,yes,gold,2,1,condominium,Selangor,7,21.0,Accept
627,Average Loan Amount,18.0,11.0,5.0,2.0,1.0,10.0,1.0,Low Salary,Average Sum of Loan,High Income for Join Application,627,4,employee,no,normal,2,3,condominium,Selangor,8,29.0,Accept
628,Average Loan Amount,23.0,11.0,5.0,3.0,1.0,10.0,1.0,Average Salary,High Sum of Loan,High Income for Join Application,628,4,employee,yes,normal,2,1,condominium,Selangor,9,34.0,Accept
629,Average Loan Amount,22.0,11.0,5.0,3.0,3.0,10.0,2.0,High Salary,Average Sum of Loan,Average Income for Join Application,629,4,employee,no,normal,2,1,condominium,Selangor,6,33.0,Accept
630,Low Loan Amount,23.0,12.0,5.0,3.0,1.0,10.0,3.0,Average Salary,High Sum of Loan,Average Income for Join Application,630,4,employee,yes,normal,2,2,condominium,Selangor,6,35.0,Accept
631,Low Loan Amount,11.0,11.0,5.0,2.0,3.0,10.0,3.0,Average Salary,Average Sum of Loan,Low Income for Join Application,631,4,employee,no,normal,2,2,condominium,Selangor,6,22.0,Reject
632,Average Loan Amount,12.0,11.0,5.0,3.0,3.0,10.0,2.0,Low Salary,Average Sum of Loan,Low Income for Join Application,632,4,employee,yes,normal,2,1,condominium,Selangor,7,23.0,Accept
633,Low Loan Amount,12.0,11.0,3.0,3.0,3.0,10.0,2.0,Low Salary,High Sum of Loan,Average Income for Join Application,633,4,employee,no,gold,2,2,condominium,Selangor,9,23.0,Accept
634,Average Loan Amount,15.0,11.0,5.0,3.0,3.0,10.0,1.0,Average Salary,High Sum of Loan,High Income for Join Application,634,4,employee,yes,gold,2,3,condominium,Selangor,6,26.0,Accept
635,Low Loan Amount,16.0,11.0,5.0,2.0,3.0,10.0,1.0,Average Salary,High Sum of Loan,Average Income for Join Application,635,4,employee,no,gold,2,1,condominium,Selangor,6,27.0,Accept
636,Average Loan Amount,20.0,15.0,5.0,3.0,2.0,11.0,2.0,High Salary,Low Sum of Loan,Average Income for Join Application,636,4,employee,yes,gold,2,3,condominium,Selangor,9,35.0,Reject
637,High Loan Amount,17.0,11.0,5.0,3.0,3.0,10.0,2.0,Average Salary,Average Sum of Loan,Low Income for Join Application,637,4,employee,no,normal,2,1,condominium,Selangor,9,28.0,Accept
638,Low Loan Amount,23.0,11.0,5.0,2.0,3.0,10.0,2.0,High Salary,High Sum of Loan,Low Income for Join Application,638,4,employee,yes,normal,2,3,condominium,Selangor,7,34.0,Accept
639,High Loan Amount,20.0,11.0,5.0,3.0,2.0,10.0,1.0,Average Salary,Low Sum of Loan,High Income for Join Application,639,4,employee,no,normal,2,3,condominium,Selangor,6,31.0,Accept
640,Low Loan Amount,14.0,13.0,4.0,3.0,3.0,10.0,2.0,Average Salary,High Sum of Loan,Average Income for Join Application,640,4,employee,yes,normal,2,1,condominium,Selangor,6,27.0,Accept
641,High Loan Amount,13.0,15.0,5.0,2.0,3.0,10.0,1.0,Average Salary,High Sum of Loan,Average Income for Join Application,641,4,employee,no,normal,2,3,condominium,Selangor,7,28.0,Reject
642,Average Loan Amount,19.0,11.0,5.0,2.0,3.0,11.0,2.0,Average Salary,Average Sum of Loan,Average Income for Join Application,642,4,employee,yes,gold,2,1,condominium,Selangor,6,30.0,Accept
